company_number_search,jurisdiction_code_search,company_name_search,country_code_search,state_search
,ma,MOOR NATIVE LIVING INC.,MA,
,ph,TATA CONSULTANCY SERVICES (PHILIPPINES) INC.,PH,
09979672,gb,DRIVEN FILM PRODUCTIONS LIMITED,GB,
,ve,"INVERSIONES POSHER, C.A. CORPORACIÓN",VE,
,do,DEVON TYREE ALLEN TRUST,DO,
,um,KABIR ELOHIM ISREAL- TRUST,UM,
,ky,"LILLY DEL CARIBE, INC.",KY,
,mx,"DWELLWORKS MEXICO, S. DE R.L. DE C.V. LLC",MX,
3754,pa,SYNTEX PUERTO RICO INC.,PA,
,bs,SITOS CARIBBEAN CORP.,BS,
,in,NSM SERVICES PRIVATE LIMITED INC.,IN,
,gb,GULF CHEMICAL CORP.,GB,
2294771,us_de,"HAMILTON SUNDSTRAND DE PUERTO RICO, INC.",US,DE
2279284,us_de,"PEPSICO PUERTO RICO, INC.",US,DE
,nl,ENTCO CARIBE B. V. LLC,NL,
b76a0dbc-9ed4-e011-a886-001ec94ffe7f,us_mn,"Retail Construction Services, Inc.",US,MN
12670984,ca,Glo3D Inc.,CA,
30155376,nl,Guidant Puerto Rico B.V.,NL,
452224,us_de,DOW CHEMICAL INTER-AMERICAN LIMITED,US,DE
0800639471,us_tx,"Burr Computer Engineers, PLLC",US,TX
4361418,us_de,ALLY US LLC,US,DE
863443,us_de,"AVON-LOMALINDA, INC.",US,DE
200020010078,us_ca,"RODAN & FIELDS, LLC",US,CA
6145049,us_de,"NO LIMBITS, INC.",US,DE
,us_fl,PLAYASOLSERENO L.L.C.,US,FL
001371233,us_ma,"GENNEW, INC.",US,MA
D12134466,us_md,"WHIRLWIND AVIATION, INC",US,MD
3179758,us_de,36 SOLARTE LANE LLC,US,DE
803176057,us_mi,"ATENEO YARONTA', LLC",US,MI
3059822,us_de,ASTRAWATT PR OWNERS LLC,US,DE
0701169922,us_tx,"webTPA Employer Services, LLC",US,TX
L07000093284,us_fl,"UNIVERSITY OF MEDICINE AND HEALTH SCIENCES, LLC",US,FL
1533978,us_oh,"JAG'D CONSTRUCTION, INC.",US,OH
L14000130100,us_fl,INOX STAINLESS SPECIALIST LLC,US,FL
L23000139163,us_fl,ADVANCE HOME REPAIR LLC,US,FL
7543583,us_de,PIDEBOT HOLDING LLC,US,DE
N05000009172,us_fl,"FIREHOUSE SUBS PUBLIC SAFETY FOUNDATION, INC.",US,FL
3879341,us_de,HORNE LLP,US,DE
,us_de,"SAVANT SYSTEMS, INC.",US,DE
,us_de,DETAX INC INC.,US,DE
7079597,us_de,MELTYNAX LLC,US,DE
411411,us_de,VICTOR INSURANCE MANAGERS INC.,US,DE
,us_ny,"AUTHENTIC ELEVATOR SERVICES, CORP.",US,NY
,us_va,MIRACORP CORPORATION,US,VA
6356096,us_de,FRONTIER NETWORKS CORP.,US,DE
7359837,us_de,"EUCLID LIFE SCIENCE SPECIALTY, LLC",US,DE
6309681,us_ny,ONE AVILA CORP.,US,NY
P20000082362,us_fl,MARIA RAMIREZ HUBBARD MD PA,US,FL
L04000034191,us_fl,"ARMSTRONG POWER SYSTEMS, LLC",US,FL
5818902,us_de,GUSSAR LLC,US,DE
4532070,us_de,FUSER CONSULTING LLC,US,DE
0802814158,us_tx,"SIRIPI, LLC",US,TX
20101693410,us_co,"training4erp, LLC",US,CO
3099569,us_de,AXIOM GLOBAL INC.,US,DE
3552329,us_ny,"TOSCANO CLEMENTS TAYLOR, LLC",US,NY
0953241,us_ne,"C.M.G. AGENCY, INC.",US,NE
3129548,us_de,"COMINO FILM TRANSPORTATION, LLC",US,DE
132027,us_ak,"Ahtna Professional Services, Inc.",US,AK
4011044,us_de,MERCER HEALTH & BENEFITS ADMINISTRATION LLC,US,DE
800756831,us_mi,"TRION SOLUTIONS II, INC.",US,MI
P05000052884,us_fl,"CLAYTON AIR AND HEATING, INC.",US,FL
3310278,us_ny,CATALYST CAPITAL ADVISORS LLC,US,NY
