grantee,registration_index,corp_name,status_es,match_type
Prime Printing LLC,524403-1511,PRIME PRINTING L.L.C.,ACTIVA,exact
Puerto Pan Inc. ,375112-111,PUERTO PAN INC.,ACTIVA,exact
"RC MANUFACTURING, LLC",377631-1511,"RC MANUFACTURING, LLC",ACTIVA,exact
SLN Properties LLC,375026-1511,SLN PROPERTIES LLC,ACTIVA,exact
Bearse PR LLC,381663-1511,BEARSE PR L.L.C.,FUSIONADA,exact
Jam Foods LLC,383420-1511,JAM FOODS LLC,ACTIVA,exact
Terumo Puerto Rico L.L.C.,385745-1511,TERUMO PUERTO RICO L.L.C.,ACTIVA,exact
"Aluminios de Puerto Rico, LLC",386258-1511,ALUMINIOS DE PUERTO RICO L.L.C.,ACTIVA,exact
"VALERO, INC",386467-111,VALERO INC.,ACTIVA,exact
"ASA Steel, LLC",387020-1511,ASA STEEL LLC,ACTIVA,exact
Molcajete Foods LLC ,387318-1511,MOLCAJETE FOODS LLC,ACTIVA,exact
LIVINDI INC,388756-111,LIVINDI INC.,ACTIVA,exact
Ferso Investments LLC,388886-1511,FERSO INVESTMENTS LLC,ACTIVA,exact
Original Footwear LLC,388900-1511,ORIGINAL FOOTWEAR LLC,ACTIVA,exact
CONNECT SOLUTIONS LLC,389309-1511,CONNECT SOLUTIONS LLC,ACTIVA,exact
CARIBBEAN CONDIMENT GROUP LLC,389743-1511,CARIBBEAN CONDIMENT GROUP LLC,ACTIVA,exact
Master Block and Paver LLC ,391507-1511,MASTER BLOCK AND PAVER LLC,ACTIVA,exact
SM Holdings LLC,391816-1511,"SM HOLDINGS, LLC",ACTIVA,exact
"Agaia Latin America, Inc.",393049-112,AGAIA LATIN AMERICA INC.,ACTIVA,exact
Master Concrete and Aggregates LLC,394839-1511,MASTER CONCRETE AND AGGREGATES LLC,ACTIVA,exact
"LeCar Radiators Industrial Cooling Solutions Inc,",396438-1011,"LECAR RADIATORS INDUSTRIAL COOLING SOLUTIONS, INC.",ACTIVA,exact
Star Impressions LLC ,397078-1511,STAR IMPRESSIONS LLC,ACTIVA,exact
AGGREGATE INC.,398970-111,AGGREGATE INC.,ACTIVA,exact
VALMEG LLC,401066-1511,VALMEG LLC,ACTIVA,exact
"NFEnergía, LLC",402298-1511,NFENERGÍA LLC,ACTIVA,exact
"PROPULSA, LLC",403914-1511,PROPULSA LLC,ACTIVA,exact
MBQ Pharma Inc.,404535-111,MBQ PHARMA INC.,ACTIVA,exact
Multi Axis Manufacturing LLC ,409500-1511,MULTI AXIS MANUFACTURING LLC,CANCELADA,exact
Dorado Steel Manufacturing LLC,408002-1511,DORADO STEEL MANUFACTURING LLC,ACTIVA,exact
"Lab Info, LLC ",410924-1511,LAB INFO LLC,ACTIVA,exact
Paletados LLC,411364-1511,PALETADOS LLC,ACTIVA,exact
Zomio INC.,411685-111,ZOMIO INC.,ACTIVA,exact
"Mdtimeline, LLC ",412863-1511,"MDTIMELINE, LLC",DISUELTA,exact
"Green Earth Tek PR, LLC ",413582-1511,GREEN EARTH TEK P.R. LLC,ACTIVA,exact
MO CC1 CAYEY LLC,415526-1511,MO CC1 CAYEY LLC,ACTIVA,exact
Bluwave Corp.,416386-111,BLUWAVE CORP.,ACTIVA,exact
"INNOVATIVE BUSINESS PROCESS SOLUTIONS, LLC",416765-1511,"INNOVATIVE BUSINESS PROCESS SOLUTIONS, LLC",ACTIVA,exact
"Caribbean Medical Research Center, LLC",417811-1511,"CARIBBEAN MEDICAL RESEARCH CENTER, LLC",ACTIVA,exact
MDF Instruments Craftech LLC,417995-1511,MDF INSTRUMENTS CRAFTECH L.L.C.,ACTIVA,exact
"FUNDAL, Corp.",418051-111,FUNDAL CORP.,ACTIVA,exact
RESOURCE RECYCLING LLC,418331-1511,RESOURCE RECYCLING LLC,ACTIVA,exact
International Printing Group LLC,420632-1511,INTERNATIONAL PRINTING GROUP LLC,ACTIVA,exact
GS TECHNOLOGY LLC,426901-1511,GS TECHNOLOGY L.L.C.,ACTIVA,exact
Winterfell Solutions LLC ,427313-1511,WINTERFELL SOLUTIONS LLC,ACTIVA,exact
"ROOF MAXX TECHNOLOGIES, LLC",427930-1511,"ROOF MAXX TECHNOLOGIES, LLC",ACTIVA,exact
"CHEF TIJERA, LLC",429322-1511,"CHEF TIJERA, LLC",ACTIVA,exact
Aguadilla Pier Corp,429469-111,"AGUADILLA PIER, CORP.",ACTIVA,exact
"APHAIA PHARMA US, LLC",430902-1511,"APHAIA PHARMA US, LLC",ACTIVA,exact
Acero 100X35 Inc.,432169-1011,ACERO 100X35 INC.,ACTIVA,exact
"MDUSTRY, LLC",433882-1511,"MDUSTRY, LLC",ACTIVA,exact
UNIPRO Architects and Engineers LLP,499063-811,UNIPRO ARCHITECTS AND ENGINEERS LLP,ACTIVA,exact
"Infomedika, Inc.",49573-111,"INFOMEDIKA, INC.",ACTIVA,exact
INSULAR WIRE PRODUCTS CORPORATION,49592-111,INSULAR WIRE PRODUCTS CORPORATION,CANCELADA,exact
"MULTI-VENTAS Y SERVICIOS, INC.",50005-111,"MULTI-VENTAS Y SERVICIOS, INC.",ACTIVA,exact
"ACCUMAIL OF PUERTO RICO, INC.",50409-111,"ACCUMAIL OF PUERTO RICO, INC.",CANCELADA,exact
"HOUSE OF HAIRLE, INC.",50705-111,"HOUSE OF HAIRLE, INC.",ACTIVA,exact
Vent-Alarm Corporation,51029-111,VENT-ALARM CORPORATION,CANCELADA,exact
Hossana Corporation,51408-111,HOSSANA CORPORATION,ACTIVA,exact
"MITSUBISHI MOTOR SALES OF CARIBBEAN, INC.",51507-111,"MITSUBISHI MOTOR SALES OF CARIBBEAN, INC.",ACTIVA,exact
"Borinquen Metal Scrap, Corp ",50843-111,BORINQUEN METAL SCRAP CORP.,ACTIVA,exact
FOAM CEM CARIBE INC,51237-111,"FOAM CEM CARIBE, INC.",ACTIVA,exact
HOSSANA CORPORATION,51408-111,HOSSANA CORPORATION,ACTIVA,exact
BORINQUEN METAL SCRAP CORP.,50843-111,BORINQUEN METAL SCRAP CORP.,ACTIVA,exact
