company_number_pr,boricua_corp_name,model_data_global_parent_bvdid,parent_company_name,parent_country_iso_code,parent_state,filial_operating_revenue_max_eur_th
1-412,"CUMIS INSURANCE SOCIETY, INC",US390230590,CMFG LIFE INSURANCE CO.,US,WI,4933444.213013
7-1532,PEÑUELAS TECHNOLOGY PARK LLC,US301128146,DOW INC.,US,MI,41118646.484596
14-1532,GE HEALTHCARE CARIBBEAN EXPORT LLC,US882515116,GE HEALTHCARE TECHNOLOGIES INC.,US,IL,18016935.64963
61-412,AMERICAN HOME ASSURANCE COMPANY,US132592361,AMERICAN INTERNATIONAL GROUP INC.,US,NY,32039240.596306
90-812,BDO USA CORP.,US253156829L,BDO USA LLP,US,IL,1809953.938846
125-1532,"VEOLIA ES TECHNICAL SOLUTIONS, L.L.C.",FR403210032,VEOLIA ENVIRONNEMENT,FR,,42150225.735829
133-412,FIDELITY AND DEPOSIT COMPANY OF MARYLAND,CHCHE101236480,ZURICH INSURANCE GROUP AG,CH,,36031138.162991
140-1532,VIATRIS PHARMACEUTICALS LLC,US135315170,PFIZER INC,US,NY,68532673.18605
158-122,THE ASSOCIATED PRESS,US135654887L,"ASSOCIATED PRESS USA LLC, THE",US,NY,931221.301536
58-1532,ARECIBO SENIOR HOUSING INVESTORS G.P. LLC,US138804114L,ARECIBO SENIOR HOUSING INVESTORS,US,CA,781803.08794
144-122,THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS,US131866329L,LDS FAMILY SERVICES,US,UT,1104640.886028
148-1532,MOLSON COORS PUERTO RICO LLC,US327191015L,MOLSON COORS PUERTO RICO LLC,US,WI,799711.295263
161-1532,"KEPNER-TREGOE PUERTO RICO, LLC",US366073046L,KEPNER-TREGOE PUERTO RICO LLC,US,DE,804389.372216
1-1533,DS REP B.V. LLC,US391434669,DENTSPLY SIRONA INC.,US,NC,3614076.309767
16-1532,"ORTHO BIOLOGICS, LLC",US221024240,JOHNSON & JOHNSON,US,NJ,78473051.094195
94-1532,ETHICON LLC,US221024240,JOHNSON & JOHNSON,US,NJ,78473051.094195
151-412,STEWART TITLE GUARANTY COMPANY,US741677330,STEWART INFORMATION SERVICES CORP,US,TX,2499537.618621
1-412,"CUMIS INSURANCE SOCIETY, INC",US390230590,CMFG LIFE INSURANCE CO.,US,WI,4933444.213013
2-1533,"HEWLETT PACKARD PUERTO RICO, BV LLC",US473298624,HEWLETT PACKARD ENTERPRISE COMPANY,US,CA,26847559.790228
68-812,DELOITTE TAX LLP,US144597670L,DELOITTE CONSULTING (HOLDING SUB) LLC,US,NY,1789800.221184
70-812,"DELOITTE, LLP",US144597670L,DELOITTE CONSULTING (HOLDING SUB) LLC,US,NY,1789800.221184
86-1532,GENPACT SERVICES LLC,US410662818L,GENPACT SERVICES LLC,US,TX,804389.372216
191-412,NATIONWIDE LIFE INSURANCE COMPANY,US314177100,NATIONWIDE MUTUAL INSURANCE CO.,US,OH,16409863.502762
255-1532,"FIRSTSOURCE ADVANTAGE, LLC",US365650139L,FIRSTSOURCE ADVANTAGE LLC,US,MN,1152801.769573
261-1532,"MONSANTO CARIBE, LLC",US431878297,MONSANTO CO,US,MO,7560535.900649
301-122,AARP,US131197635L,AMERICAN ASSOCIATION OF RETIRED PERSONS (FN),US,DC,5217516.0979
317-122,"AMERICAN HEART ASSOCIATION, INC.",US129577761L,AMERICAN HEART ASSOCIATION INC.,US,TX,1906995.10209
335-112,SOL PUERTO RICO LIMITED,GB04306979,SOL INVESTMENTS LIMITED,GB,,882933.928219
339-1531,CROWN CASTLE PR LLC,US378817922L,CROWN CASTLE PR LLC,US,PR,1015546.633334
409-1532,"KADMON PHARMACEUTICALS, LLC",FR395030844,SANOFI,FR,,43855809.660462
168-1532,AFL TELECOMMUNICATIONS LLC,JP2010601007861,FUJIKURA LTD,JP,,5567405.03056
303-312,"CITIBANK, N.A.",US521568099,CITIGROUP INC,US,NY,69636879.590031
407-122,"NOVA SOUTHEASTERN UNIVERSITY, INC.",US130941100L,NOVA SOUTHEASTERN UNIVERSITY INC.,US,FL,960998.023423
231-412,METROPOLITAN LIFE INSURANCE COMPANY,US134075851,METLIFE INC.,US,NY,50665336.662383
293-412,ALLSTATE INSURANCE COMPANY,US363871531,THE ALLSTATE CORP.,US,IL,46007149.12791
324-1532,"JANSSEN-CILAG MANUFACTURING, LLC",US221024240,JOHNSON & JOHNSON,US,NJ,78473051.094195
413-1532,FORD MOTOR CREDIT COMPANY LLC,US380549190,FORD MOTOR CO,US,MI,162358071.381886
436-1532,"WYNDHAM VACATION RESORTS PUERTO RICO, LLC",US368212646L,"WYNDHAM VACATION RESORTS PUERTO RICO, LLC",US,DE,781803.08794
453-122,"ASOCIACION DE CAPELLANES AHIEZER, INC.",US317843624L,"ASOCIACION DE CAPELLANES AHIEZER,INC.",US,FL,831268.468123
453-1532,"METROPOLITAN HOUSING FOR THE ELDERLY, LLC",US368159822L,"METROPOLITAN HOUSING FOR THE ELDERLY, LLC",US,DE,804389.372216
460-1532,"NEW HOLLAND CREDIT COMPANY, LLC",NL56532474,CNH INDUSTRIAL N.V,NL,,21630095.72292
464-1532,"BROWN-FORMAN-WORLDWIDE, L.L.C.",US371054834L,"WOLF PEN BRANCH, LP",US,DE,3896056.540388
485-122,CNA CORPORATION,US132646102,LOEWS CORP.,US,NY,8016038.953733
493-412,"CUMIS INSURANCE SOCIETY, INC",US390230590,CMFG LIFE INSURANCE CO.,US,WI,4933444.213013
495-412,CMFG LIFE INSURANCE COMPANY,US390230590,CMFG LIFE INSURANCE CO.,US,WI,4933444.213013
498-122,UNIVERSITY OF MIAMI,US131211611L,THE UNIVERSITY OF MIAMI,US,FL,2473280.766624
499-1532,"CTP PLAZA, LLC",US368279534L,"CTP PLAZA, LLC",US,DE,804389.372216
520-122,"RECYCLING FOR A BETTER TOMORROW, A SCHNITZER STEEL INDUSTRIES CHARITABLE FOUNDATION CORPORATION",US930341923,RADIUS RECYCLING INC,US,OR,2655937.240994
530-122,BATTELLE MEMORIAL INSTITUTE,US128528655L,"BATTELLE MEMORIAL INSTITUTE, INC.",US,OH,1035065.188155
546-112,MCCANN-ERICKSON CORPORATION (SA.),US131024020,INTERPUBLIC GROUP OF COMPANIES INC,US,NY,10034364.253604
580-112,E.R. SQUIBB & SONS INTER-AMERICAN CORPORATION,US220790350,BRISTOL-MYERS SQUIBB COMPANY,US,NY,41472536.028061
621-1532,"NEUTRAL TANDEM-PUERTO RICO, LLC",SE5568828908,SINCH AB,SE,,2449869.639874
624-1532,"SBA 2012 TC ASSETS PR, LLC",US349866461L,"SBA 2012 TC ASSET, LLC",US,NC,863443.176812
650-1532,VERTEX AEROSPACE LLC,US348959429L,"VERTEX HOLDCO, INC.",US,DE,2663897.431266
714-1532,"GTP TOWERS I, LLC",US650723837,AMERICAN TOWER CORPORATION,US,MA,9870169.66393
509-122,ONESIGHT,IT00891030272,LUXOTTICA GROUP SPA,IT,,9420912.463049
556-1532,"PERSHING, LLC",US132614959,THE BANK OF NEW YORK MELLON CORPORATION,US,NY,15091229.381178
668-1532,"WIELAND METAL SERVICES CARIBE, LLC",DE8270229075,SCHWENK DONAU GMBH & CO. KG,DE,,6545532.392911
467-1532,"JORICO PROPERTIES, LLC",US313273583L,"JORICO PROPERTIES, LLC",US,MD,804389.372216
473-122,MISION EVANGELIO MUNDIAL INC.,US363291467L,MISION EVANGELISMO MUNDIAL,US,MA,804389.372216
481-122,"MINISTERIO EVANGELISTICO MI CRISTO VIVE, INC.",US308769005L,"MINISTERIO EVANGELISTICO MI CRISTO VIVE, INC.",US,FL,890921.480133
