file_name,bvd_id_orbis,company_name,country_code,state,operating_revenue_year_last_eur,operating_revenue_year_1_eur,operating_revenue_year_2_eur,operating_revenue_year_3_eur,operating_revenue_year_4_eur,operating_revenue_num_years_available,operating_revenue_num_years_over_threshold,operating_revenue_over_threshold
1-1000 US Parent Companies.xlsx,US*1709906604,AMERICAN EXPRESS COMPANY,US,NY,54665133.837989405,49260289.90112641,38069034.3414441,29529802.532531,38850815.1002556,4,4,true
1-1000 US Parent Companies.xlsx,US*190521480965,AMERICAN AIRLINES INC,US,TX,47768304.3540176,45907578.748190105,26381769.281776298,14126811.096738702,40734383.0863283,4,4,true
1-1000 US Parent Companies.xlsx,US*190521506840,ALLSTATE INSURANCE CO.,US,IL,43171527.8839636,40638883.5989207,36001129.733292505,26500128.5837932,29436596.2777166,4,4,true
1-1000 US Parent Companies.xlsx,US*4000000216561,AMAZON WEB SERVICES INC,US,WA,31155425.1004456,,,,,0,0,true
1-1000 US Parent Companies.xlsx,US043512838,ARROW ELECTRONICS INC,US,CO,29961181.1239198,34806337.719719,30440586.8272975,23366782.959862597,25740476.024272703,4,4,true
1-1000 US Parent Companies.xlsx,US060247840,BEAR STEARNS COMPANIES LLC,US,NY,10941672.6233365,12538706.0724195,9815998.85619998,6334617.76107811,6166320.968445131,4,4,true
1-1000 US Parent Companies.xlsx,US111806155,EQUITABLE FINANCIAL LIFE INSURANCE CO.,US,NY,10383426.329184,16891469.8556802,15256127.1731246,11021732.3465779,13251586.6001628,4,4,true
1-1000 US Parent Companies.xlsx,US113150043GN,ALLY FINANCIAL INC,US,MI,8423525.63138821,8933062.60211897,8172344.59411385,6328746.17694104,6628984.306371951,4,4,true
1-1000 US Parent Companies.xlsx,US114323167GN,AMERICAN HOME ASSURANCE CO.,US,NY,7519938.932834601,7509680.315972351,6578291.12432311,6845498.578555239,7890389.5195957,4,4,true
1-1000 US Parent Companies.xlsx,US114536103GN,AMERICAN ASSOCIATION OF RETIRED PERSONS (FN),US,DC,5217516.097900091,,,,,0,0,true
1-1000 US Parent Companies.xlsx,US114564632GN,"AVERITT EXPRESS, INC.",US,TN,3813990.20417926,,,,,0,0,true
1-1000 US Parent Companies.xlsx,US120050745L,ALTICOR INC,US,MI,3011439.65974036,,,,,0,0,true
1-1000 US Parent Companies.xlsx,US120146752L,AVON PRODUCTS INC,US,NY,2596288.51362173,3005914.77643265,2954284.14121126,4239986.30966978,4865761.740250691,4,4,true
1-1000 US Parent Companies.xlsx,US120385300L,BIO RAD LABORATORIES INC,US,CA,2417430.58929451,2627273.90257402,2580385.13740325,2074506.9296190701,2057734.8237791702,4,4,true
1-1000 US Parent Companies.xlsx,US120501251L,BELDEN INC.,US,MO,2273378.1652557203,2443733.5932498,2031837.69669948,1427913.78074513,1897167.7742065,4,4,true
1-1000 US Parent Companies.xlsx,US123056820L,ADVANTAGE SALES & MARKETING LLC,US,CA,2319521.08287598,,,,,0,0,true
1-1000 US Parent Companies.xlsx,US123239572L,"ALLIANT INSURANCE SERVICES, INC.",US,CA,1951997.93635723,,,,,0,0,true
1-1000 US Parent Companies.xlsx,US123247275L,AMERICAN HEART ASSOCIATION INC.,US,TX,1906995.10208963,,,,,0,0,true
1-1000 US Parent Companies.xlsx,US123314581L,BDO USA LLP,US,IL,1875118.09448341,,,,,0,0,true
1-1000 US Parent Companies.xlsx,US123620648L,AMERICAN GREETINGS CORP,US,OH,1745765.8643784202,1789118.97103595,1425950.94415761,1423367.28275037,1260986.4690887202,4,4,true
1-1000 US Parent Companies.xlsx,US123644349L,ASSUREDPARTNERS NL LLC,US,FL,1720420.85168853,,,,,0,0,true
1-1000 US Parent Companies.xlsx,US123829652L,"AXON ENTERPRISE, INC.",US,AZ,1414832.84920301,1115634.32487956,762299.810718518,554969.7569836951,472547.684823501,4,2,true
1-1000 US Parent Companies.xlsx,US123877414L,BARNES GROUP INC,US,CT,1313004.84060355,1183075.7598248,1111465.35251965,916299.9282303521,1327326.14756932,4,4,true
1-1000 US Parent Companies.xlsx,US123968130L,AMWINS GROUP BENEFITS LLC,US,NC,1321020.69756356,,,,,0,0,true
1-1000 US Parent Companies.xlsx,US124034239L,AMERESCO INC,US,MA,1244011.20640869,1710503.3520868102,1073368.06461003,841231.838758925,771704.7471029881,4,4,true
