model_data_global_parent_bvdid,filial_operating_revenue_max_eur_th
US943047598,29979794.151485
ESA08015497,33382839.696918
NL30046259,15686082.75996
US852096734,2922227.64761
DE7270007346,2024511.623886
ESA84236934,4409012.310992
US127608505L,977389.065393
US173303334L,751786.672274
GBJE93905,6099339.142837
US522242751,6435448.990652
CA*H00089252167,4323404.1432
US753099507,11067080.62222
US391434669,3614076.309767
US510317849,1435371.937429
US149092060L,11536664.076309
US941381833,2627273.902574
US144597670L,1789800.221184
TW35412204,5413484.121353
KY41315WB,2811018.673403
US261119726,2294505.310353
US366757520L,1104590.296283
US362058176,2304646.20426
US372634673L,804389.372216
US205654756,4206354.771935
US161651043L,781803.08794
US943025021,19227787.814466
US390230590,4933444.213013
US472989869,27433638.751089
BM29407R,8930435.217801
US590864469,3292851.799269
IE604607,11499253.417697
CHCHE191546434,41236612.737381
US620211340,2197649.448259
US330580106,3081164.221252
US131166910,8315702.557585
US149091618L,1875118.094483
US380829210,858966.695954
GB*Z00609819,2576334.78538
YY*907257415,1396234.458124
US395644016L,804389.372216
US393319283L,804389.372216
US383910250,2714066.054967
US580628465,42161801.480203
ESA39000013,59589821.825939
NL24473890,47676908.326064
US120186348L,1668855.10409
US133513936,8071316.312254
US349866461L,863443.176812
US302720669L,1144910.96742
US276850082L,804389.372216
US313004087L,804389.372216
US401400944L,804389.372216
US363145972,49647014.872883
DE8270229075,6545532.392911
GBJE111714,16045481.885945
US954148514,3540769.134806
US132974524L,1447963.151077
US464364776,1718577.19548
US351110453L,804389.372216
US369064793L,804389.372216
DK24256790,31732476.91998
US173561559L,27466955.998954
US461932921,7111601.122524
US132186431L,3078731.649977
US349827047L,992759.735457
US123948988L,807239.456725
US043744954,1107575.459784
US953232481,5015437.748192
JP7021001020895,2524548.303504
US223415036,1141589.921191
US359870231L,790971.939997
US370314641L,804389.372216
GB02025003,1558319.298813
US125832702L,1813573.846723
JP8010001131752,53640996.847607
US326511944L,804389.372216
US313228196L,1694044.947668
US521568099,69636879.590031
US050315468,13080358.370348
US431627032,14981559.293542
US133138625L,4648417.756224
NL73422134,2929638.722608
US128076972L,951622.43295
GB04306979,882933.928219
US149206148L,1139069.09598
FR519087993,1575987.559625
US411724239,29066532.861724
US320375147,53496112.980676
US980420726,8913571.04826
BM52714R,4437062.803671
US132614959,15091229.381178
US379908329L,804389.372216
US340526850,21242059.484381
KY30346FH,2436478.920706
US149106963L,1534784.160335
JP6010801003186,28005310.231987
JP5140001058614,1766329.122223
US*110347671067,1197791.625293
US133727655,1562330.908871
US363562655L,793684.665286
US355125284L,1555862.977828
US132986051L,764979.915442
GBIM004685V,4778375.957896
US560906609,86841049.993501
US380333015L,804389.372216
US246015302L,2800198.365682
FR969202241,854127.937017
US270000798,112027320.912138
US302073839L,905707.728919
US366215573L,781803.08794
US368212646L,781803.08794
US365475542L,810336.514555
US365542964L,869795.36884
US358888133L,898147.133121
US396798938L,804389.372216
US371586557L,804389.372216
US251599871L,959466.842222
US371054834L,3896056.540388
US380859221L,804389.372216
US060548860,15889188.197224
US340183970,3998775.277567
US020478229,1920641.019198
US911653725,1682638.849413
US231180120,10700774.014956
ESB78510492,4362102.993759
PL270543582,1129077.94403
US540649263,875195.542975
DE6150026135,1047675.820468
US266681324L,760742.863108
US900226248,16891469.85568
US061377322,1533045.160235
US365496659L,759790.135668
US364836272L,804389.372216
US370413140L,799331.549661
US352132343L,788226.455776
US042997780,4760972.625161
US208236097,17373610.108331
US130871985,76429416.190344
US452647441,34354011.660565
US881121891,15068564.438604
PT500697256,20296820.063177
US245251451L,18281439.759312
US205338862,2916070.215896
US149137450L,1177375.037219
US010894487,979701.822765
US139109975L,827148.950053
GBSC036219,5819474.650878
US313496132L,1072784.643925
US348630818L,857042.477604
US274384691,9431447.846381
US376097873L,804389.372216
US132297629L,1793664.353396
GBGG19528,4503825.692796
US464591526,1054711.204415
US370612244L,804389.372216
US318824900L,849940.04612
US741648137,70332331.919081
USBOE00023227,920447.995405
FR542048574,36557033.758083
US381510762,5068614.237162
US752303920,1798516.823906
US351736614,1192537.272052
US241492856L,1059809.237493
US135654887L,931221.301536
US126471824L,907154.252581
US060918165,11065245.016202
US135123390,11625708.426824
US365673011L,932198.933261
US366083597L,804389.372216
US319517600L,1003447.29893
US133260245,22560829.986331
US361923344L,944739.51344
IN0000021455,26955884.540191
US340276860,17894396.968603
DE5030147137,112451855.485587
LR30002MX,12579179.874978
IE471706,59078301.458696
US220760120,17851070.400464
US126265148L,908494.716777
DE7150000030,85830136.053789
US208875684,6917601.99216
IE606357,30274609.501798
US134172551,22787487.705472
US356287583L,1394156.039764
US378792065L,804389.372216
US930341923,2655937.240994
US365219285L,1421875.533607
US473298624,26847559.790228
IE475616,8214150.787727
US940479804,4134535.76501
AU002818368,3746557.948872
US060397030,4951072.112608
DE6290014544,40140015.067781
US133180631,6034474.781576
US130794380,9707327.820057
US369836102L,804389.372216
US360781620,2781700.211909
US871583942,1158698.735517
SE5561904771,5534371.770603
US800629925,908555.627424
US407907746L,804389.372216
US359126924L,804389.372216
US368159822L,804389.372216
US401900381L,804389.372216
US582567903,8896432.275007
VG*L000000217869,1101993.448232
US380572512,8933062.602119
US127888573L,974747.340829
DE2150637488,2494941.323815
US042902449,3713971.703211
US202705720,11830994.052408
US371229518L,887168.845333
US134204626,29394579.247176
US301128146,41118646.484596
US471347291,992587.551482
US621721435,83076846.821042
US130941100L,960998.023423
NL17001910,18500497.120198
US810422894,2314778.620469
US470783182,1077458.067358
US310669331L,1511521.758191
US364910063L,1845628.960861
US389652779L,804389.372216
US128869937L,1110858.909263
US355583369L,809293.905081
US383420645L,804389.372216
JP4010001008772,34543374.878329
US770059951,52522981.931491
US*903673069,1247132.291159
US362059034L,1285550.271882
US374777408L,804389.372216
US375449156L,804389.372216
US860741227,1414832.849203
FR379690167,8863388.602224
GB09451374,941582.261875
US350964965L,865495.977778
US365650139L,1152801.769573
US366303425L,804389.372216
IL90005GE,13753228.326026
CAFEB33408,19315346.774396
US363363614L,1215362.300424
US250730780,16813501.47096
JP5120005007271,22841011.470493
US911011792,2227586.190032
US352743254L,1884162.050338
CHCHE101236480,36031138.162991
US363871531,46007149.12791
US372492770L,804389.372216
US401927273L,804389.372216
US281580779L,1079313.208941
US362675207,49499604.283211
US132624428,135648759.816555
US410319970,11159243.341017
CN42494PC,2178647.147873
US267960260L,907970.113335
US*110158215675,1021070.591081
AT9010013062,947737.209191
SE5568494180,2122026.35059
US245084450L,3378740.836897
US367519823L,1346374.348928
US299380940L,943757.943395
US358148405L,804389.372216
US370404965L,1765860.729382
US372376358L,804389.372216
US010562944,72331382.434279
US331022198,4538698.981918
FR552032534,27186891.65103
US253156829L,1809953.938846
US953936623,1111685.47394
US134681188L,874742.591077
DE2010000581,75919988.512617
US406731521L,804389.372216
US375011528L,804389.372216
US377121683L,804389.372216
US381490038,19654689.927246
CA5-62040066I,6680796.283647
US261911571,6922644.103327
US128528655L,1035065.188155
IT02324900030,4372357.04651
US010526993,2347954.803364
US542049910,10278945.854596
CA33410NC,6882239.392397
US378504680L,804389.372216
US351187730L,1714514.166337
US061500476,3491756.666666
JP9011101055980,28240466.843849
CHCHE395345924,64283070.172538
CA31358NC,4132855.890627
IE545333,28775334.976989
US369275978L,804389.372216
US374870618L,804389.372216
US954376145,7372223.180304
US363601505,2443733.59325
US910351110,32369517.906541
FR419838529,3184566.340951
US364790327L,1568005.990809
US368715746L,804389.372216
US541163725,11626418.894816
US421406317,134377178.764484
US251723342,20627696.34124
US391672779,19206278.531438
US361258310,14937190.740655
US149162285L,1580724.55365
IE534814,2136818.275748
US262828128,1717823.601805
US324279971L,977314.516936
US359288591L,804389.372216
US370411211L,804389.372216
US371580572L,804389.372216
US317843624L,831268.468123
US741563240,24042552.91083
US*905313800,2964585.177954
US129820716L,2027002.660137
US129577761L,1906995.10209
US128138933L,1400713.216579
US258018722L,753797.473982
US851144904,2990231.413775
GB11414195,9312291.029854
JP7010001065142,90686677.773854
JP5011001005222,7023309.677248
GB04366849,291761928.129817
US391382325,5378244.816814
AU122169279,10288813.158429
US365189729L,804389.372216
US349317776L,804389.372216
US372402326L,838633.929417
US318611492L,804389.372216
US374387576L,804389.372216
US134075851,50665336.662383
US361115800,9194623.339494
US126110837L,1508596.608028
US223672377,806642.171925
CN9502455515,29658197.888688
US390520270,8899640.899581
US389616332L,804389.372216
US266043941L,933869.998209
CHCHE243263129,39322818.38119
US131815595,17929416.313726
US351140070,17287138.505379
US376422602L,804389.372216
US132592361,32039240.596306
US943322844,1993147.521789
GB09237894,830262.202173
FR395030844,43855809.660462
JP1010801001748,4729845.925871
US470813844,75708584.200308
US349907474L,804389.372216
US369107144L,804389.372216
US349453589L,1694035.364183
US369848408L,804389.372216
US580218548,53490606.162624
US470351813,4073928.450027
US150238005L,773755.308857
US952680965,1049267.99508
JP2010601007861,5567405.03056
ESA48035901,959130.185444
US365668304L,755060.271035
US370789175L,804389.372216
US294958565L,1092214.975935
