name,company_number,jurisdiction_code,search_company_type,search_company_name,search_company_jurisdiction_code,search_company_country_code,search_company_company_number,search_company_country_name
TPS-TECNOLOGIA EN PRODUCCION DE SISTEMA SA,13040-112,pr,controlling_entity,TPS-TECNOLOGIA EN PRODUCCION DE SISTEMA SA,ar,AR,,Argentina
RIO TINTO WEBBER TRADING TRUST,389623-513,pr,controlling_entity,RIO TINTO WEBBER TRADING TRUST,au,AU,,Australia
"NOVOMATIC AG, INC.",412731-113,pr,controlling_entity,"NOVOMATIC AG, INC.",at,AT,,Austria
"LIME PROPERTIES, LTD.",15776-112,pr,controlling_entity,"Lime Properties, Ltd.",bs,BS,169581B,Bahamas
"OCEAN INTERNATIONAL REINSURANCE, CORP.",434386-113,pr,controlling_entity,"OCEAN INTERNATIONAL REINSURANCE, CORP.",bb,BB,,Barbados
VOXBONE S.A. LLC,781-1532,pr,controlling_entity,VOXBONE,be,BE,0478928788,Belgium
"TO-RICOS DISTRIBUTION, LTD.",13831-112,pr,controlling_entity,"To-Ricos Distribution, Ltd.",bm,BM,38643,Bermuda
AXESNETWORK SOLUTIONS INC.,384099-113,pr,controlling_entity,AxesNetwork Solutions Inc.,ca,CA,6472982,Canada
LCPR CAYMAN HOLDING INC.,417311-113,pr,controlling_entity,LCPR CAYMAN HOLDING INC.,ky,KY,,Cayman Islands
FGR S.A.,402474-112,pr,controlling_entity,FGR S.A.,cl,CL,,Chile
TAYLOR Y JOHNSON LTDA,484193-1513,pr,controlling_entity,TAYLOR Y JOHNSON LTDA L.L.C.,co,CO,,Colombia
ACCENTURE SRL (COSTA RICA) LLC,458604-1513,pr,controlling_entity,ACCENTURE SRL (COSTA RICA) LLC,cr,CR,,Costa Rica
IGT GLOBAL SERVICES LIMITED,12904-1512,pr,controlling_entity,IGT GLOBAL SERVICES LIMITED,cy,CY,HE100649,Cyprus
DEVON TYREE ALLEN TRUST,501807-513,pr,controlling_entity,DEVON TYREE ALLEN TRUST,do,DO,,Dominican Republic
LUFTHANSA TECHNIK AKTIENGESELLSCHAFT,348537-113,pr,controlling_entity,Lufthansa Technik Aktiengesellschaft,de,DE,K1101R_HRB56865,Germany
QUASSIA LIMITED,12722-112,pr,controlling_entity,QUASSIA LIMITED,gi,GI,37931,Gibraltar
ECJ ENTERPRISES CORPORATION,351924-112,pr,controlling_entity,ECJ ENTERPRISES CORPORATION,gu,GU,,Guam
LAESA LIMITED,14362-112,pr,controlling_entity,Laesa Limited,gg,GG,1-24417,Guernsey
"PRO FONDO HOGAR BETHEL, HAITÍ INC.",476976-123,pr,controlling_entity,"PRO FONDO HOGAR BETHEL, HAITÍ INC.",ht,HT,,Haiti
COEX EXPORTADORA (HONDURAS) S.A. DE C.V. INC.,394632-113,pr,controlling_entity,COEX EXPORTADORA (HONDURAS) S.A. DE C.V. INC.,hn,HN,,Honduras
G-P&I L.L.C.,426970-1513,pr,controlling_entity,G-P&I L.L.C.,hk,HK,,Hong Kong
COOPERTON INVESTMENTS LLC,477632-1513,pr,controlling_entity,COOPERTON INVESTMENTS LLC,hu,HU,,Hungary
